Age,Gender,Location,Monthly_Bill,Total_Usage_GB,Churn,year,month
63,Male,Los Angeles,73.36,236,0,1,5
62,Female,New York,48.76,172,0,0,1
24,Female,Los Angeles,85.47,460,0,0,5
36,Female,Miami,97.94,297,1,0,3
46,Female,Miami,58.14,266,0,1,7
67,Male,New York,82.65,456,1,1,3
30,Female,Chicago,73.79,269,0,0,3
67,Female,Miami,97.7,396,1,0,1
20,Female,Miami,42.45,150,1,0,10
53,Female,Los Angeles,64.49,383,1,1,0
50,Female,Miami,88.49,442,0,0,5
44,Male,Los Angeles,95.71,295,1,1,8
34,Female,Miami,90.42,148,1,0,10
28,Male,Chicago,58.48,239,1,1,1
42,Male,Chicago,46.87,233,0,1,3
55,Female,Houston,61.11,231,1,1,1
43,Female,New York,81.4,231,1,0,8
63,Male,Chicago,83.31,198,0,0,1
31,Male,Miami,63.4,236,0,1,11
41,Female,Chicago,58.76,354,0,0,1
58,Female,Houston,49.56,429,0,0,2
64,Male,Houston,99.79,243,0,1,3
50,Male,Chicago,62.45,270,1,1,11
70,Male,Los Angeles,51.21,389,1,0,4
18,Female,New York,68.91,226,1,1,0
20,Female,Los Angeles,75.69,393,0,1,6
46,Female,Houston,81.76,89,1,1,5
25,Male,Los Angeles,82.74,183,0,0,2
31,Male,Miami,72.09,270,0,0,5
53,Male,Los Angeles,93.91,456,1,1,7
27,Female,Miami,42.92,135,1,0,1
18,Male,New York,75.74,185,0,0,9
66,Female,Miami,61.1,151,1,0,3
62,Male,Miami,77.35,115,1,0,9
29,Male,Los Angeles,79.82,269,1,0,10
62,Male,New York,73.5,194,1,1,7
66,Female,Chicago,59.0,278,1,1,3
36,Male,New York,47.22,423,1,1,5
60,Male,Miami,97.11,202,0,1,6
26,Male,Miami,46.16,495,0,0,1
45,Female,Chicago,70.11,162,0,1,2
55,Male,Miami,72.67,101,1,1,4
19,Female,Miami,39.69,294,0,1,2
20,Female,Miami,79.84,122,1,1,8
26,Female,Houston,82.46,305,0,0,3
37,Female,New York,92.78,212,1,1,3
63,Female,Chicago,64.82,220,1,0,1
27,Male,Los Angeles,61.98,253,1,0,6
66,Male,New York,70.41,135,0,1,3
49,Female,Miami,53.26,278,1,1,5
38,Female,New York,44.73,411,1,0,7
25,Female,Chicago,38.28,447,1,1,2
53,Male,Chicago,40.71,218,0,0,3
29,Female,Houston,94.31,221,1,2,0
57,Male,Chicago,42.36,243,1,1,8
47,Male,Miami,35.43,166,0,0,8
47,Female,Los Angeles,93.39,64,1,1,7
70,Male,Los Angeles,75.58,67,1,0,3
18,Female,New York,87.67,391,0,1,10
36,Male,New York,42.56,232,1,1,11
31,Female,Houston,47.67,298,0,1,0
48,Female,New York,41.1,334,1,1,4
53,Male,Los Angeles,61.96,326,0,0,8
64,Male,Houston,73.94,459,0,0,10
70,Male,New York,62.67,371,1,0,7
20,Female,Chicago,51.95,299,1,1,8
67,Male,Miami,57.31,376,1,2,0
